cluster_id	req_ids	lh_row_ids	gr_surfaces_ref	mismatch_description	port_difficulty	confidence	prov_spec	open_q_ids
C1	NONE	LH0188,LH0072,LH0190,LH0187,LH0184	gr-surfaces:C1	Lighthouse PR #39 adds the SSZ proof containers PublicInput, ExecutionProof, SignedExecutionProof and ProofByRootIdentifier plus NewPayloadRequest SSZ/TreeHash derives and request_root() [LH0188] [LH0072]; the referenced Grandine surface records only a TODO(feature/deneb) comment referencing NewPayloadRequest in types/src/combined.rs, with searches for public_input, execution_proof, signed_execution_proof and proof_by_root_identifier returning empty gr-surfaces:C1, so the EIP-8025 proof-container type surface is effectively absent in Grandine. Because this comparison rests on the provisional EIP-8025 spec baseline it is recorded as needs-input rather than a confirmed gap [OPEN-Q1].	high	low	PROV-SPEC	[OPEN-Q1]
C2	R011,R012,R013,R015,R016,R018	LH0024,LH0041,LH0042,LH0029,LH0122,LH0118,LH0116,LH0112,LH0115,LH0095,LH0084,LH0086,LH0030,LH0012,LH0117,LH0119,LH0032,LH0043,LH0203,LH0199,LH0022,LH0093	gr-surfaces:C2	Lighthouse implements an execution-proof gossip-validation surface: verify_and_observe_execution_proof dedup and BLS checks, the ObservedExecutionProofs bounded caches, and process_gossip_execution_proof action mapping with execution_proof topic registration [LH0024] [LH0041] [LH0122] [LH0118]; the referenced Grandine row is CITED-ABSENT, recording that searches for verify_and_observe_execution_proof, ObservedExecutionProofs, process_gossip_execution_proof, enable_execution_proof and execution_proof returned empty across the repo and all five submodules gr-surfaces:C2, so this gossip-validation proof surface is absent in Grandine. The requirement mapping rests on the provisional spec baseline, so the gap is needs-input [OPEN-Q1].	high	medium	PROV-SPEC	[OPEN-Q1]
C3	R006,R019,R020,R027,R028,R035	LH0104,LH0103,LH0101,LH0102,LH0098,LH0132,LH0133,LH0027,LH0129,LH0138,LH0023,LH0025,LH0100,LH0096,LH0123,LH0139,LH0106,LH0110,LH0128,LH0134,LH0099	gr-surfaces:C3	Lighthouse adds three req/resp proof protocols (ExecutionProofsByRange, ExecutionProofsByRoot, ExecutionProofStatus), their SSZ containers and codec, and serving handlers bounded by proof_serve_range [LH0104] [LH0101] [LH0098] [LH0132]; the referenced Grandine row is CITED-ABSENT, recording that searches for ExecutionProofsByRange, ExecutionProofsByRoot, ExecutionProofStatus and proof_serve_range returned empty across the repo and all five submodules gr-surfaces:C3, so the req/resp proof surface is absent in Grandine. The requirement mapping rests on the provisional spec baseline, so the gap is needs-input [OPEN-Q1].	high	medium	PROV-SPEC	[OPEN-Q1]
C4	NONE	LH0066,LH0067,LH0068,LH0189,LH0064,LH0022,LH0069	gr-surfaces:C4	Lighthouse adds a proof-engine transport: HttpProofEngine with request_proofs and verify_execution_proof over a boxed ProofNodeClient, the proof-node endpoint set, a ProofType registry and a ProofEngineError taxonomy [LH0066] [LH0067] [LH0068] [LH0064]; the referenced Grandine row is CITED-ABSENT, recording that searches for HttpProofEngine, ProofNodeClient, request_proofs, verify_execution_proof, ProofType and ProofEngineError returned empty across the repo and all five submodules gr-surfaces:C4, so the proof-engine transport surface is absent in Grandine.	high	medium		
C5	R001,R009	LH0034,LH0045,LH0073,LH0070,LH0071,LH0208	gr-surfaces:C5	Lighthouse dispatches proof requests fire-and-forget on both the notify_new_payload path and the gloas payload-envelope notify path and makes the ExecutionLayer engine optional (R001/R009) [LH0034] [LH0045] [LH0073]; the referenced Grandine surface records the generic notify_new_payload trait, its impls and the fork-choice / per-phase block-processing call sites as the EL-integration attach point but with no EIP-8025 proof-request wiring on that path gr-surfaces:C5, so the integration point exists in Grandine while the proof-request dispatch adaptation is not present.	medium	medium		
C6	R001	LH0026,LH0017,LH0009,LH0044,LH0011,LH0173,LH0180,LH0185,LH0208	gr-surfaces:C6	Lighthouse consumes valid proofs as a supplementary payload-validity signal at the execution_proof_quorum threshold and registers block_root to new_payload_request_root mappings for later status/serving (R001) [LH0026] [LH0017] [LH0009] [LH0044]; the referenced Grandine row is CITED-ABSENT, recording that searches for execution_proof_quorum, new_payload_request_root and min_valid_proof_types returned empty across the repo and all five submodules gr-surfaces:C6, so the block-import / fork-choice proof surface is absent in Grandine.	high	medium		
C7	NONE	LH0165,LH0167,LH0093,LH0017,LH0240,LH0241,LH0184,LH0186,LH0169,LH0170,LH0094,LH0166,LH0168	gr-surfaces:C7	Lighthouse adds opt-in proof config/CLI surface: beacon-node flags proof-engine-endpoint, proof-types and execution-proof-quorum, the network enable_execution_proof gate, ExecutionProofQuorumConfig and Domain::ExecutionProof [LH0165] [LH0093] [LH0017] [LH0184]; the referenced Grandine row is CITED-ABSENT, recording that searches for proof_engine_endpoint, proof_types, execution_proof_quorum, ExecutionProofQuorumConfig and domain_execution_proof returned empty across the repo and all five submodules gr-surfaces:C7, so the config/CLI proof surface is absent in Grandine.	high	medium		
C8	R001	LH0247,LH0248,LH0250,LH0237,LH0238,LH0239,LH0249,LH0242,LH0243,LH0208	gr-surfaces:C8	Lighthouse adds a validator-client ProofService that requests, signs (sign_execution_proof via Domain::ExecutionProof) and submits execution proofs (R001) [LH0247] [LH0248] [LH0250]; the referenced Grandine row is CITED-ABSENT, recording that searches for ProofService, sign_execution_proof and signed_execution_proofs_total returned empty across the repo and all five submodules gr-surfaces:C8, so the validator/prover proof surface is absent in Grandine. The requirement mapping rests on the provisional spec baseline, so the gap is needs-input [OPEN-Q1].	high	medium	PROV-SPEC	[OPEN-Q1]
C9	R005,R032,R036	LH0160,LH0150,LH0161,LH0162,LH0154,LH0209,LH0152,LH0143,LH0146,LH0023	gr-surfaces:C9	Lighthouse adds a ProofSync catch-up engine that sends ExecutionProofStatus on peer add (R005), selects peers from cached status responses (R036) and filters needed proof types on status.proof_types (R032) [LH0160] [LH0161] [LH0150]; the referenced Grandine row is CITED-ABSENT, recording that searches for ProofSync, ExecutionProofsByRange, ExecutionProofsByRoot, ExecutionProofStatus and proof_serve_range returned empty across the repo and all five submodules gr-surfaces:C9, so the proof-sync surface is absent in Grandine. The requirement mapping rests on the provisional spec baseline, so the gap is needs-input [OPEN-Q1].	high	medium	PROV-SPEC	[OPEN-Q1]
C10	NONE	LH0001,LH0004,LH0003,LH0007,LH0208,LH0210,LH0211,LH0214,LH0215,LH0213,LH0225,LH0227,LH0228,LH0010,LH0038,LH0130,LH0077,LH0078,LH0073,LH0043,LH0032,LH0069,LH0099,LH0028,LH0203,LH0199,LH0206,LH0052,LH0232,LH0089,LH0163,LH0137,LH0209,LH0196	gr-surfaces:C10	Lighthouse adds a proof test/CI surface: a kurtosis eip8025 devnet, an end-to-end integration-test crate, zkboost wire tests and simulator proof-generator/verifier node types [LH0001] [LH0208] [LH0203]; the referenced Grandine surface records only code comments and log-message strings referencing gossip validation via HTTP API in http_api/src/standard.rs and no EIP-8025 proof test/CI surface gr-surfaces:C10, so the proof test/CI surface is effectively absent in Grandine. Because this comparison rests on the provisional EIP-8025 spec baseline it is recorded as needs-input rather than a confirmed gap [OPEN-Q1].	high	low	PROV-SPEC	[OPEN-Q1]
