cluster_id	req_ids	grandine_surface	evidence	confidence	notes
C1	NONE	types/src/combined.rs	[raw:notes/raw/gr-sub-search-c1.txt]	low	Sole retained hit is a TODO(feature/deneb) comment in types/src/combined.rs referencing NewPayloadRequest; searches for public_input, execution_proof, signed_execution_proof and proof_by_root_identifier returned empty. PROV-SPEC
C2	R011,R012,R013,R015,R016,R018	CITED-ABSENT	[raw:notes/raw/gr-search-c2.txt];[raw:notes/raw/gr-sub-search-c2.txt]	high	No gossip-validation proof surface; searches for verify_and_observe_execution_proof, ObservedExecutionProofs, process_gossip_execution_proof, enable_execution_proof and execution_proof across the repo and all five submodules returned empty. PROV-SPEC
C3	R006,R019,R020,R027,R028,R035	CITED-ABSENT	[raw:notes/raw/gr-search-c3.txt];[raw:notes/raw/gr-sub-search-c3.txt]	high	No req/resp proof surface; searches for ExecutionProofsByRange, ExecutionProofsByRoot, ExecutionProofStatus and proof_serve_range across the repo and all five submodules returned empty. PROV-SPEC
C4	NONE	CITED-ABSENT	[raw:notes/raw/gr-search-c4.txt];[raw:notes/raw/gr-sub-search-c4.txt]	high	No proof-engine surface; searches for HttpProofEngine, ProofNodeClient, request_proofs, verify_execution_proof, ProofType and ProofEngineError across the repo and all five submodules returned empty.
C5	R001,R009	execution_engine/src/execution_engine.rs::notify_new_payload;eth1_api/src/execution_service.rs::notify_new_payload;eth1_api/src/eth1_execution_engine.rs::notify_new_payload;fork_choice_control/src/mutator.rs::notify_new_payload	[raw:notes/raw/gr-search-c5.txt];[raw:notes/raw/gr-sub-search-c5.txt]	medium	Matches Grandine's generic execution-engine notify_new_payload trait, its impls and fork-choice / per-phase block_processing call sites (the EL integration surface); retained hits show no EIP-8025 proof-request wiring on this path.
C6	R001	CITED-ABSENT	[raw:notes/raw/gr-search-c6.txt];[raw:notes/raw/gr-sub-search-c6.txt]	high	No block-import/fork-choice proof surface; searches for execution_proof_quorum, new_payload_request_root and min_valid_proof_types across the repo and all five submodules returned empty.
C7	NONE	CITED-ABSENT	[raw:notes/raw/gr-search-c7.txt];[raw:notes/raw/gr-sub-search-c7.txt]	high	No config/CLI proof surface; searches for proof_engine_endpoint, proof_types, execution_proof_quorum, ExecutionProofQuorumConfig and domain_execution_proof across the repo and all five submodules returned empty.
C8	R001	CITED-ABSENT	[raw:notes/raw/gr-search-c8.txt];[raw:notes/raw/gr-sub-search-c8.txt]	high	No validator/prover-service proof surface; searches for ProofService, sign_execution_proof and signed_execution_proofs_total across the repo and all five submodules returned empty. PROV-SPEC
C9	R005,R032,R036	CITED-ABSENT	[raw:notes/raw/gr-search-c9.txt];[raw:notes/raw/gr-sub-search-c9.txt]	high	No proof-sync surface; searches for ProofSync, ExecutionProofsByRange, ExecutionProofsByRoot, ExecutionProofStatus and proof_serve_range across the repo and all five submodules returned empty. PROV-SPEC
C10	NONE	http_api/src/standard.rs	[raw:notes/raw/gr-search-c10.txt];[raw:notes/raw/gr-sub-search-c10.txt]	low	Retained hits in http_api/src/standard.rs are only code comments and log-message strings referencing "gossip validation via HTTP API"; no EIP-8025 proof test/CI surface. PROV-SPEC
C-unassigned	NONE	types/src/gloas/containers.rs::ExecutionPayloadBid;types/src/gloas/containers.rs::SignedExecutionPayloadBid;fork_choice_store/src/store.rs::validate_execution_payload_bid;fork_choice_store/src/store.rs::apply_execution_payload_bid;fork_choice_control/src/controller.rs::on_gossip_execution_payload_bid	[raw:notes/raw/gr-search-c-unassigned.txt];[raw:notes/raw/gr-sub-search-c-unassigned.txt]	medium	Grandine's gloas ePBS execution-payload-bid machinery: ExecutionPayloadBid / SignedExecutionPayloadBid containers, Store::validate_execution_payload_bid and apply_execution_payload_bid, and Controller::on_gossip_execution_payload_bid.
