row_id	manifest_index	file	symbol_lines	change_type	cluster_id	req_ids	classification	classification_signal	test_evidence	notes
LH0001	001	.github/workflows/kurtosis-eip8025.yml	whole file (new workflow kurtosis eip8025)	added	C10	NONE	CI-devnet	New kurtosis devnet workflow starting enclave eip8025-zkboost and asserting zkboost_prove_total proof metrics [raw:lh-files/001.diff]	NONE	Devnet/CI harness for the EIP-8025 kurtosis testnet; not a spec obligation [raw:lh-files/001.diff]
LH0002	002	.github/workflows/nightly-tests.yml	env RUST_CACHE_EXTRA_IDENTIFIER + cache-extra-identifier steps	modified	C10	NONE	CI-devnet	Adds RUST_CACHE_EXTRA_IDENTIFIER keyed on branch optional-proofs-unstable/optional-proofs to separate build caches [raw:lh-files/002.diff]	NONE	CI cache-key plumbing for the optional-proofs branch family [raw:lh-files/002.diff]
LH0003	003	.github/workflows/test-suite.yml	cache-extra-identifier plumbing + new proof-engine-tests job	modified	C10	NONE	CI-devnet	Adds proof-engine-tests job running make test-proof-engine plus cache-extra-identifier keys across jobs [raw:lh-files/003.diff]	NONE	CI wiring for proof-engine tests and per-branch cache separation; also renames the Deneb basic-sim step [raw:lh-files/003.diff]
LH0004	004	.github/workflows/zkboost-tests.yml	whole file (new workflow zkboost-tests)	added	C10	NONE	CI-devnet	New zkboost-tests workflow running make test-zkboost with clang/leveldb build env [raw:lh-files/004.diff]	NONE	Devnet/CI harness for proof_engine_zkboost integration tests [raw:lh-files/004.diff]
LH0005	005	Cargo.lock	dependency graph updates; new proof_engine_test package	modified	C-unassigned	NONE	dependency	Lockfile change adding package proof_engine_test 8.1.3 and deps reqwest-eventsource, async-stream/async-trait, criterion [raw:lh-files/005.diff]	NONE	Generated lockfile reflecting new crates and workspace deps [raw:lh-files/005.diff]
LH0006	006	Cargo.toml	workspace members + dep version bumps	modified	C-unassigned	NONE	dependency	Adds testing/proof_engine workspace member and bumps ethereum_ssz 0.10.0->0.10.4, ssz_types 0.14.0->0.14.1 [raw:lh-files/006.diff]	NONE	Build-manifest change; new test crate member and SSZ dep bumps [raw:lh-files/006.diff]
LH0007	007	Makefile	RECENT_FORKS lists; test-proof-engine/test-zkboost targets	modified	C10	NONE	CI-devnet	Adds make targets test-proof-engine and test-zkboost, excludes proof_engine_test from test-release, drops electra from RECENT_FORKS [raw:lh-files/007.diff]	NONE	Test-runner wiring for proof-engine/zkboost suites and fork-list update [raw:lh-files/007.diff]
LH0008	008	beacon_node/beacon_chain/src/beacon_chain.rs	struct fields observed_execution_proofs, execution_proof_statuses, internal_event_tx + imports	modified	C-unassigned	NONE	LH-arch-choice	Adds BeaconChain fields wiring the proof-gossip dedup cache ObservedExecutionProofs, proof-status cache ExecutionProofStatusCache and a lazy internal event bus [raw:lh-files/008.diff]	NONE	Infrastructure wiring spanning gossip dedup, proof status and an integration-test event bus; enforcement lives in dedicated modules [raw:lh-files/008.diff]
LH0009	008	beacon_node/beacon_chain/src/beacon_chain.rs	import_block: register_request_root call	modified	C6	NONE	LH-arch-choice	On import registers block_root->new_payload_request_root and slot via execution_proof_statuses.register_request_root [raw:lh-files/008.diff]	NONE	Maps imported blocks to their new-payload request root for later proof status/serving [raw:lh-files/008.diff]
LH0010	008	beacon_node/beacon_chain/src/beacon_chain.rs	subscribe_internal_events/internal_event_sender/emit_internal_event	modified	C10	NONE	LH-arch-choice	Adds a lazily-initialized tokio broadcast event bus with doc-comment used by execution-proof integration tests [raw:lh-files/008.diff]	NONE	Test-observability hooks compiled into the node; used by proof integration tests [raw:lh-files/008.diff]
