req_id	source	section	paraphrased_requirement	rfc_level	pr_delta	contested	evidence	notes
R001	EIP-PR	Specification > Consensus Layer	A node may enable proof-generating mode (an opted-in active validator producing and broadcasting execution proofs), proof-verifying mode (consuming gossiped proofs as a supplementary payload-validity signal), or both.	MAY	modified	no	[raw:eip-8025-post-pr.md] [raw:eip-8025-pre-pr.md]	Pre-PR locator: section 'Specification', phrase 'Validators will now be able to enable two new modes' (zkEVM Proof generating; Stateless validation) [raw:eip-8025-pre-pr.md]. The PR renamed the modes to proof-generating/proof-verifying, keyed the permission with MAY, and expanded the mode descriptions, so the operative text differs after whitespace normalization [raw:eip-8025-post-pr.md].
R002	EIP-PR	Specification > Consensus Layer	Every proof-aware node must retain valid execution proofs for canonical-chain blocks back to the finalized checkpoint so that syncing peers can backfill them via ExecutionProofsByRange and ExecutionProofsByRoot.	MUST	added	no	[raw:eip-8025-post-pr.md] [raw:eip-8025-pre-pr.md]	Added by PR: confident review of the complete pre-PR text found no corresponding obligation under the correspondence rule; the pre-PR document is a stub whose only normative-keyword text is the RFC 2119 boilerplate [raw:eip-8025-pre-pr.md]. Imposed twice post-PR: the 'Sync support requirement' paragraph in the Consensus Layer section and a restatement under 'Beacon-chain state transition' ('clients MUST retain proofs for canonical-chain blocks back to the finalized checkpoint') [raw:eip-8025-post-pr.md]. A reviewer asked for this obligation to be surfaced earlier and the author added it to the main Consensus Layer section (jochem-brouwer 2026-05-12T23:54:46Z; request addressed in-thread, so not contested) [raw:eip-threads.md]. The spec snapshot keys only serving obligations, not retention (see R019, R027; PROV-SPEC) [OPEN-Q1].
R003	EIP-PR	Specification > Consensus Layer > Proof types and containers	Before treating an execution proof as a positive attestation of payload validity, a verifier must check that public_input.successful_validation is True.	MUST	added	no	[raw:eip-8025-post-pr.md] [raw:eip-8025-pre-pr.md]	Added by PR: confident review of the complete pre-PR text found no corresponding obligation under the correspondence rule; the pre-PR document is a stub whose only normative-keyword text is the RFC 2119 boilerplate [raw:eip-8025-pre-pr.md]. The snapshot's PublicInput carries only new_payload_request_root and lacks successful_validation and chain_config, so no snapshot counterpart of this check exists (PROV-SPEC divergence between the EIP text and the provisional baseline) [OPEN-Q1] [raw:spec-files/011-beacon-chain.md].
R004	both	EIP: Specification > Consensus Layer > Proof gossip | spec: The gossip domain: gossipsub > Topics and messages > Global topics > `execution_proof`	A client that receives an execution proof before the corresponding new payload request may queue the proof and process it once the payload arrives.	MAY	added	no	[raw:eip-8025-post-pr.md] [raw:eip-8025-pre-pr.md] [raw:spec-files/012-p2p-interface.md]	Added by PR: confident review of the complete pre-PR text found no corresponding obligation under the correspondence rule; the pre-PR document is a stub whose only normative-keyword text is the RFC 2119 boilerplate [raw:eip-8025-pre-pr.md]. EIP and snapshot express this permission with the same actor, trigger, MAY strength, and queue-until-payload behaviour, so the row is merged [raw:eip-8025-post-pr.md] [raw:spec-files/012-p2p-interface.md]. PROV-SPEC: derived from the provisional spec snapshot [OPEN-Q1].
R005	both	EIP: Specification > Consensus Layer > Req/resp domain | spec: The Req/Resp domain > Messages > ExecutionProofStatus	On first establishing a connection to a proof-aware peer, the dialing client must send an ExecutionProofStatus request.	MUST	added	no	[raw:eip-8025-post-pr.md] [raw:eip-8025-pre-pr.md] [raw:spec-files/012-p2p-interface.md]	Added by PR: confident review of the complete pre-PR text found no corresponding obligation under the correspondence rule; the pre-PR document is a stub whose only normative-keyword text is the RFC 2119 boilerplate [raw:eip-8025-pre-pr.md]. EIP and snapshot agree on actor (dialing client), trigger (first connection to a proof-aware peer), MUST strength, and the send-status behaviour [raw:eip-8025-post-pr.md] [raw:spec-files/012-p2p-interface.md]. PROV-SPEC: derived from the provisional spec snapshot [OPEN-Q1].
R006	EIP-PR	Specification > Consensus Layer > Req/resp domain	Clients must serve both ExecutionProofsByRange and ExecutionProofsByRoot requests for any canonical-chain block whose slot falls within proof_serve_range (finalized checkpoint through current slot).	MUST	added	no	[raw:eip-8025-post-pr.md] [raw:eip-8025-pre-pr.md]	Added by PR: confident review of the complete pre-PR text found no corresponding obligation under the correspondence rule; the pre-PR document is a stub whose only normative-keyword text is the RFC 2119 boilerplate [raw:eip-8025-pre-pr.md]. The snapshot splits this obligation into per-protocol serving requirements (see R019 and R027) [raw:spec-files/012-p2p-interface.md]. The EIP writes proof_serve_range as [finalized_checkpoint.slot, current_slot] while the snapshot derives the lower bound as compute_start_slot_at_epoch(state.finalized_checkpoint.epoch) (PROV-SPEC divergence) [OPEN-Q1] [raw:eip-8025-post-pr.md] [raw:spec-files/012-p2p-interface.md].
R007	EIP-PR	Specification > Consensus Layer > Req/resp domain	A peer unable to reply to proof backfill requests (answering ResourceUnavailable) may be descored.	MAY	added	no	[raw:eip-8025-post-pr.md] [raw:eip-8025-pre-pr.md]	Added by PR: confident review of the complete pre-PR text found no corresponding obligation under the correspondence rule; the pre-PR document is a stub whose only normative-keyword text is the RFC 2119 boilerplate [raw:eip-8025-pre-pr.md]. Snapshot counterpart R021 additionally permits disconnection, so strict equivalence fails and the rows remain separate [raw:spec-files/012-p2p-interface.md]. The surrounding EIP sentence states the ResourceUnavailable response itself without an RFC keyword (see lowercase observations) [raw:eip-8025-post-pr.md].
R008	EIP-PR	Specification > Execution Layer > Stateless input and output	Even when a guest uses the supplied per-transaction public keys instead of recovering them, it must still verify the transaction signatures and the supplied public keys.	MUST	added	no	[raw:eip-8025-post-pr.md] [raw:eip-8025-pre-pr.md]	Added by PR: confident review of the complete pre-PR text found no corresponding obligation under the correspondence rule; the pre-PR document is a stub whose only normative-keyword text is the RFC 2119 boilerplate [raw:eip-8025-pre-pr.md]. Restated in lowercase under Guest validation ('Optimized guests may avoid full public-key recovery, but they must still verify...'), which also adds recovery-id/y-parity consistency [raw:eip-8025-post-pr.md].
R009	EIP-PR	Security Considerations	Validators must not delay block validation or attestation production while waiting for an execution proof.	MUST	added	no	[raw:eip-8025-post-pr.md] [raw:eip-8025-pre-pr.md]	Added by PR: confident review of the complete pre-PR text found no corresponding obligation under the correspondence rule; the pre-PR document is a stub whose only normative-keyword text is the RFC 2119 boilerplate [raw:eip-8025-pre-pr.md]. Negative polarity (MUST NOT). Located in Security Considerations; treated as operative because it directly constrains validator behaviour on the attestation path rather than narrating rationale [raw:eip-8025-post-pr.md].
R010	spec-snapshot	The gossip domain: gossipsub > Topics and messages > Global topics > `execution_proof`	Before forwarding a gossiped SignedExecutionProof, a client must ignore any proof it has already processed, i.e. whose hash_tree_root has been seen before.	MUST	n/a	no	[raw:spec-files/012-p2p-interface.md]	Keyed by the umbrella sentence 'The following validations MUST pass before forwarding' covering the gossip rule list [raw:spec-files/012-p2p-interface.md]. The EIP's Proof gossip bullet list has no first-seen deduplication rule; its list starts at the payload-seen rule (PROV-SPEC divergence) [OPEN-Q1] [raw:eip-8025-post-pr.md].
R011	spec-snapshot	The gossip domain: gossipsub > Topics and messages > Global topics > `execution_proof`	A client must forward a gossiped proof only after the corresponding new payload request (identified by new_payload_request_root) has been seen via gossip or non-gossip sources, ignoring it otherwise.	MUST	n/a	no	[raw:spec-files/012-p2p-interface.md]	Keyed by the umbrella sentence 'The following validations MUST pass before forwarding' covering the gossip rule list [raw:spec-files/012-p2p-interface.md]. The EIP states the same rule without an RFC keyword in its gossip bullet list [raw:eip-8025-post-pr.md]. The embedded queueing permission is row R004 [raw:spec-files/012-p2p-interface.md]. PROV-SPEC: derived from the provisional spec snapshot [OPEN-Q1].
R012	spec-snapshot	The gossip domain: gossipsub > Topics and messages > Global topics > `execution_proof`	A client must ignore a gossiped proof when a valid proof for the same (new_payload_request_root, proof_type) tuple has already been received, so only the first valid proof of each type per payload propagates.	MUST	n/a	no	[raw:spec-files/012-p2p-interface.md]	Keyed by the umbrella sentence 'The following validations MUST pass before forwarding' covering the gossip rule list [raw:spec-files/012-p2p-interface.md]. The snapshot repeats this bullet verbatim as the final entry of the rule list (duplicate bullet; see observations) [raw:spec-files/012-p2p-interface.md]. The EIP states the same rule without an RFC keyword [raw:eip-8025-post-pr.md]. PROV-SPEC: derived from the provisional spec snapshot [OPEN-Q1].
R013	spec-snapshot	The gossip domain: gossipsub > Topics and messages > Global topics > `execution_proof`	A client must ignore any gossiped proof that is not the first (valid or invalid) proof received for the (new_payload_request_root, proof_type, validator_index) tuple, giving each prover one attempt per payload and proof type.	MUST	n/a	no	[raw:spec-files/012-p2p-interface.md]	Keyed by the umbrella sentence 'The following validations MUST pass before forwarding' covering the gossip rule list [raw:spec-files/012-p2p-interface.md]. The EIP states the same rule without an RFC keyword [raw:eip-8025-post-pr.md]. PROV-SPEC: derived from the provisional spec snapshot [OPEN-Q1].
